epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95952,1.32188,11.7362,0.7124,2.25866,2.03128,0.18478,1,0.27673,0.20325,0,0,0,0,0.78458,11.8902,0.68,44.253,1.54245,0.0003,0.0003,0.0003
2,13.2617,0.5527,11.3822,0.69045,0.56204,1.33606,0.04027,0.52941,0.03313,0.00833,0,0,0,0,3.85783,11.9802,5.25641,inf,117.032,0.000607724,0.000607724,0.000607724
3,19.2952,0.6878,11.2208,0.64557,0.72991,1.42147,0.04027,0.52941,0.03313,0.00833,0,0,0,0,nan,nan,nan,nan,nan,0.000902776,0.000902776,0.000902776
4,25.3093,0.73658,11.0668,0.6123,0.57841,1.51337,0.14397,0.52941,0.12669,0.07962,0,0,0,0,1.70853,11.7926,0.90622,121.514,8.22448,0.00118516,0.00118516,0.00118516
5,31.2585,0.81979,10.9372,0.5974,0.66436,1.58967,0.14397,0.52941,0.12669,0.07962,0,0,0,0,0.91965,6,0.33065,2.33203,7.91795,0.00145486,0.00145486,0.00145486
6,37.227,0.63611,10.6997,0.59105,0.51451,1.35555,0.14397,0.52941,0.12669,0.07962,0,0,0,0,3.27707,11.9782,0.76038,11.7013,8.03261,0.0017119,0.0017119,0.0017119
7,43.2251,0.56907,10.3609,0.59982,0.55442,1.36494,0.05284,0.91176,0.05215,0.02069,0,0,0,0,3.03895,11.9728,24.1623,inf,166.649,0.0017624,0.0017624,0.0017624
8,49.1657,0.5883,10.4906,0.59011,0.54298,1.34205,0.33333,0.05882,0.17647,0.14117,0,0,0,0,6.16157,11.7322,0.83642,10.8064,8.47846,0.0017228,0.0017228,0.0017228
9,55.1635,0.4992,10.0716,0.59222,0.45954,1.28741,0.66046,0.47059,0.46209,0.21225,0.00641,0.02941,0.00333,0.00033,2.7881,11.1848,0.74187,2.41721,5.61513,0.0016832,0.0016832,0.0016832
10,61.3756,0.6218,10.0857,0.59233,0.52135,1.39732,0.601,0.4431,0.54735,0.26236,0,0,0,0,1.93823,10.8474,0.67861,2.14554,4.45947,0.0016436,0.0016436,0.0016436
11,67.6004,0.49215,9.91064,0.59233,0.43502,1.2739,0.56997,0.66291,0.69652,0.44974,0,0,0,0,1.45449,11.214,0.63663,1.48288,3.31143,0.001604,0.001604,0.001604
12,73.794,0.41784,9.60382,0.5877,0.40473,1.14785,0.79351,0.79412,0.86475,0.64884,0,0,0,0,1.14443,10.2061,0.6346,1.36817,1.77056,0.0015644,0.0015644,0.0015644
13,80.0245,0.40111,9.42344,0.58524,0.39633,1.15238,1,0.99669,0.995,0.87326,0,0,0,0,0.76877,11.2379,0.63281,0.61632,1.33958,0.0015248,0.0015248,0.0015248
14,86.2098,0.46447,9.06431,0.57778,0.38698,1.22294,0.99612,0.97059,0.97854,0.90818,0,0,0,0,0.59892,10.9504,0.6427,0.45604,0.98558,0.0014852,0.0014852,0.0014852
15,92.4355,0.3941,8.99545,0.57194,0.35525,1.16443,0.9871,0.97059,0.99159,0.85772,0,0,0,0,0.70066,11.0511,0.6462,0.74045,1.28276,0.0014456,0.0014456,0.0014456
16,98.4564,0.39394,8.74379,0.56634,0.36438,1.16094,0.7913,0.85294,0.90901,0.71064,0.03065,0.02941,0.00238,0.00048,0.95834,10.0304,0.62853,1.60243,1.47329,0.001406,0.001406,0.001406
17,104.474,0.37405,8.51018,0.5555,0.34847,1.14196,0.93518,0.97059,0.97002,0.81182,0,0,0,0,0.74441,9.84003,0.60643,0.77474,1.1377,0.0013664,0.0013664,0.0013664
18,110.425,0.39068,8.54847,0.54927,0.35819,1.13613,0.83804,0.91317,0.93494,0.61637,0,0,0,0,1.11086,10.4288,0.59643,1.51319,1.52281,0.0013268,0.0013268,0.0013268
19,116.426,0.34609,8.01475,0.52552,0.3257,1.10537,0.96486,0.97059,0.9874,0.81268,0.00885,0.02941,0.00456,0.00091,0.93374,11.027,0.60869,0.65917,1.51226,0.0012872,0.0012872,0.0012872
20,122.392,0.32053,8.07732,0.51758,0.32486,1.07246,0.99398,1,0.995,0.94007,0,0,0,0,0.46345,10.2881,0.53286,0.50546,0.79078,0.0012476,0.0012476,0.0012476
21,128.646,0.34367,7.75478,0.51002,0.31814,1.09023,0.99585,1,0.995,0.91852,0,0,0,0,0.55146,9.3632,0.51311,0.46605,0.88822,0.001208,0.001208,0.001208
22,134.628,0.32196,7.67549,0.47498,0.29542,1.08772,1,0.9962,0.995,0.92939,0.02857,0.08824,0.01671,0.00384,0.4699,8.69038,0.48312,0.40422,0.84091,0.0011684,0.0011684,0.0011684
23,140.682,0.30552,7.37337,0.47063,0.29661,1.05384,0.96537,1,0.99357,0.90976,0,0,0,0,0.44826,9.00986,0.45418,0.39882,0.79224,0.0011288,0.0011288,0.0011288
24,146.692,0.32189,7.33991,0.44752,0.3026,1.04761,0.99741,0.97059,0.99443,0.92058,0.21172,0.20588,0.09685,0.0162,0.51253,7.04985,0.41543,0.42428,0.90524,0.0010892,0.0010892,0.0010892
25,152.924,0.30834,7.00233,0.42845,0.28563,1.07856,0.99464,0.97059,0.992,0.88205,0.09864,0.08824,0.04558,0.00564,0.42221,7.39176,0.37309,0.43328,0.83587,0.0010496,0.0010496,0.0010496
26,158.924,0.32965,6.92639,0.40624,0.29823,1.0886,0.99719,0.97059,0.99289,0.90995,0.15107,0.14706,0.04801,0.00554,0.43899,7.17978,0.36221,0.38222,0.83749,0.00101,0.00101,0.00101
27,164.957,0.28603,6.79197,0.39623,0.2774,1.04171,1,0.99829,0.995,0.9454,0.39363,0.38235,0.22618,0.04349,0.39334,6.07153,0.34733,0.35332,0.76583,0.0009704,0.0009704,0.0009704
28,171.154,0.2872,6.58057,0.36306,0.25953,1.03916,0.99641,1,0.995,0.94698,0.26842,0.26471,0.15529,0.03252,0.41558,5.88829,0.33244,0.36035,0.79005,0.0009308,0.0009308,0.0009308
29,177.168,0.28391,6.38715,0.3533,0.26929,1.03614,0.99126,1,0.995,0.95656,0.46805,0.47059,0.28302,0.05344,0.3974,5.91987,0.32236,0.30735,0.74708,0.0008912,0.0008912,0.0008912
30,183.474,0.27193,6.17734,0.35202,0.25989,1.00756,0.99768,1,0.995,0.96247,0.29339,0.29412,0.13126,0.01998,0.35526,5.74331,0.31483,0.29853,0.72081,0.0008516,0.0008516,0.0008516
31,189.509,0.27655,6.22751,0.33388,0.25923,1.02839,0.99844,1,0.995,0.96073,0.44067,0.44118,0.31355,0.06787,0.57005,5.85477,0.31624,0.35936,0.9741,0.000812,0.000812,0.000812
32,195.758,0.23986,5.80042,0.32814,0.25737,1.00233,0.99837,1,0.995,0.96147,0.20555,0.20588,0.13639,0.02521,0.45249,5.61454,0.27824,0.35552,0.83085,0.0007724,0.0007724,0.0007724
33,201.743,0.25147,5.50862,0.30173,0.25495,0.97662,0.99839,1,0.995,0.95818,0.4111,0.41176,0.25073,0.05601,0.40682,6.12337,0.28785,0.32712,0.77416,0.0007328,0.0007328,0.0007328
34,207.745,0.26143,5.76657,0.3162,0.25077,1.01656,0.99822,1,0.995,0.96932,0.49911,0.5,0.35323,0.07313,0.31148,4.99349,0.26446,0.28472,0.71836,0.0006932,0.0006932,0.0006932
35,213.961,0.24102,5.59568,0.28788,0.23656,1.0211,0.99857,1,0.995,0.97579,0.24092,0.23529,0.15349,0.03865,0.36064,6.23343,0.24722,0.29261,0.75429,0.0006536,0.0006536,0.0006536
36,219.959,0.25121,6.16446,0.29809,0.24356,1.00721,0.99692,1,0.995,0.94884,0.46911,0.47059,0.30362,0.0737,0.39718,4.77883,0.24349,0.29365,0.78872,0.000614,0.000614,0.000614
37,225.924,0.25429,5.88393,0.2827,0.25765,1.00433,0.99836,1,0.995,0.97651,0.55814,0.55882,0.42087,0.10993,0.32668,4.78972,0.24862,0.26327,0.69287,0.0005744,0.0005744,0.0005744
38,232.146,0.23956,5.37533,0.27356,0.23347,0.98954,0.99842,1,0.995,0.97628,0.61667,0.61765,0.52114,0.12633,0.39011,4.24211,0.24989,0.29017,0.74713,0.0005348,0.0005348,0.0005348
39,238.354,0.23483,5.35414,0.28166,0.22516,1.0016,0.99836,1,0.995,0.97388,0.58753,0.58824,0.47742,0.12038,0.3963,4.73312,0.23427,0.31696,0.75199,0.0004952,0.0004952,0.0004952
40,244.374,0.2279,5.07426,0.25625,0.23149,0.98119,0.99834,1,0.995,0.97292,0.70873,0.70588,0.63791,0.13156,0.38168,4.67921,0.24734,0.31762,0.73274,0.0004556,0.0004556,0.0004556
41,264.966,0.23947,4.96406,0.25933,0.23022,0.99211,0.99845,1,0.995,0.98412,0.68898,0.67647,0.58255,0.19585,0.32758,3.79718,0.22896,0.27645,0.6842,0.000416,0.000416,0.000416
42,271.26,0.22301,4.85154,0.25967,0.22535,0.9761,0.99852,1,0.995,0.96099,0.64698,0.64706,0.56283,0.15625,0.39265,4.48316,0.22742,0.30286,0.73303,0.0003764,0.0003764,0.0003764
43,277.257,0.21958,4.68113,0.25666,0.21796,0.99765,0.99846,1,0.995,0.9678,0.76352,0.76471,0.68037,0.19021,0.35307,3.84162,0.20776,0.28099,0.71021,0.0003368,0.0003368,0.0003368
44,283.261,0.21654,4.62857,0.24834,0.21771,0.97638,0.99844,1,0.995,0.97891,0.79288,0.79412,0.72351,0.18563,0.33958,3.7598,0.20815,0.27547,0.68774,0.0002972,0.0002972,0.0002972
45,289.524,0.20954,4.70993,0.25258,0.2093,0.96975,0.99846,1,0.995,0.97944,0.73416,0.73529,0.67732,0.21558,0.34689,3.86981,0.19776,0.30862,0.68313,0.0002576,0.0002576,0.0002576
46,295.802,0.21173,4.6065,0.24565,0.20993,0.96923,0.99847,1,0.995,0.97785,0.70487,0.70588,0.62405,0.1928,0.34055,3.79669,0.20188,0.29301,0.68746,0.000218,0.000218,0.000218
47,301.846,0.19826,4.67302,0.23987,0.20139,0.97677,0.99847,1,0.995,0.98227,0.79288,0.79412,0.74395,0.23722,0.31954,3.55849,0.19924,0.27671,0.67433,0.0001784,0.0001784,0.0001784
48,308.091,0.21043,4.21325,0.23599,0.20585,0.9742,0.9985,1,0.995,0.98472,0.8227,0.82353,0.77939,0.27077,0.34656,3.41795,0.19978,0.29985,0.70921,0.0001388,0.0001388,0.0001388
49,314.344,0.20591,4.1409,0.2322,0.19961,0.9636,0.99853,1,0.995,0.9847,0.85238,0.85294,0.82325,0.29767,0.33099,3.35025,0.20018,0.27434,0.68151,9.92e-05,9.92e-05,9.92e-05
50,320.69,0.20096,4.15223,0.24234,0.1953,0.9767,0.99852,1,0.995,0.9847,0.85264,0.85294,0.83002,0.29138,0.32605,3.33518,0.19588,0.27419,0.67066,5.96e-05,5.96e-05,5.96e-05
